seconds,connections,rps,total
1,0,0,0
2,2091,2091,2091
3,5794,3703,5794
4,9493,3699,9493
5,13308,3814,13307
6,16979,3672,16979
7,20742,3763,20742
8,24552,3810,24552
9,28420,3868,28420
10,32212,3791,32211
11,35934,3723,35934
12,39834,5989,41923
13,43630,7499,49422
14,47395,7466,56888
15,51153,7572,64460
16,54951,7470,71930
17,58834,7644,79574
18,62677,7653,87227
19,66340,7533,94760
20,70093,7544,102304
21,73785,7415,109719
22,77566,9770,119489
23,81245,11177,130666
24,85036,11256,141922
25,88852,11388,153310
26,92593,11212,164522
27,96222,11274,175796
28,99873,11304,187100
29,103499,11158,198258
30,107079,11125,209383
31,110847,11181,220564
32,114552,13476,234040
33,118058,14684,248724
34,121759,14956,263680
35,125472,15102,278782
36,129180,14919,293701
37,132776,14870,308571
38,136465,14994,323565
39,140054,14745,338310
40,143632,14705,353015
41,147030,14578,367593
42,150645,17090,384683
43,154217,18255,402938
44,157754,18495,421433
45,161331,18680,440113
46,164920,18507,458620
47,168410,18361,476981
48,171536,18118,495099
49,175112,18323,513422
50,178661,18250,531672
51,182250,18171,549843
52,185730,20569,570412
53,189128,21654,592066
54,192544,21910,613976
55,195528,21660,635636
56,199111,22095,657731
57,202633,21881,679612
58,206103,21589,701201
59,209639,21860,723061
60,213152,21765,744826
61,216697,21713,766539
62,220083,23953,790492
63,223396,24970,815462
64,226679,25190,840652
65,229975,24958,865610
66,233233,25352,890962
67,236478,25124,916086
68,239746,24861,940947
69,242991,25104,966051
70,246224,24996,991047
71,248075,20866,1011913
72,249690,28267,1040180
73,250000,25253,1065433
74,250000,25218,1090651
75,250000,24951,1115602
76,250000,25333,1140935
77,250000,25134,1166069
78,250000,24853,1190922
79,250000,25128,1216050
80,250000,24996,1241046
81,250000,23555,1264601
82,250000,25579,1290180
83,250000,25252,1315432
84,250000,25216,1340648
85,250000,24954,1365602
86,250000,25333,1390935
87,250000,25134,1416069
88,250000,24851,1440920
89,250000,25126,1466046
90,250000,25000,1491046
