seconds,connections,rps,total
1,97,97,97
2,669,572,669
3,1285,616,1285
4,1908,623,1908
5,2527,619,2527
6,3161,634,3161
7,3795,634,3795
8,4408,613,4408
9,5041,633,5041
10,5663,622,5663
11,6298,731,6394
12,6937,1212,7606
13,7583,1261,8867
14,8200,1241,10108
15,8840,1259,11367
16,9481,1275,12642
17,10117,1270,13912
18,10742,1238,15150
19,11382,1273,16423
20,12022,1262,17685
21,12662,1369,19054
22,13308,1860,20914
23,13955,1908,22822
24,14586,1870,24692
25,15234,1909,26601
26,15879,1920,28521
27,16507,1897,30418
28,17157,1889,32307
29,17805,1920,34227
30,18453,1911,36138
31,19102,2020,38158
32,19744,2500,40658
33,20384,2548,43206
34,21024,2509,45715
35,21664,2548,48263
36,22304,2562,50825
37,22944,2534,53359
38,23584,2529,55888
39,24239,2578,58466
40,24884,2556,61022
41,25529,2662,63684
42,26188,3160,66844
43,26841,3203,70047
44,27486,3154,73201
45,28128,3190,76391
46,28768,3201,79592
47,29408,3175,82767
48,30048,3169,85936
49,30689,3219,89155
50,31348,3215,92370
51,31991,3305,95675
52,32635,3803,99478
53,33281,3851,103329
54,33933,3806,107135
55,34593,3848,110983
56,35232,3841,114824
57,35872,3815,118639
58,36513,3809,122448
59,37171,3878,126326
60,37831,3874,130200
61,38487,3961,134161
62,39136,4448,138609
63,39776,4495,143104
64,40436,4467,147571
65,41089,4498,152069
66,41740,4493,156562
67,42397,4474,161036
68,43038,4451,165487
69,43680,4519,170006
70,44339,4529,174535
71,44981,4607,179142
72,45641,5113,184255
73,46300,5149,189404
74,46945,5106,194510
75,47585,5146,199656
76,48225,5129,204785
77,48864,5114,209899
78,49523,5110,215009
79,50144,5141,220150
80,50784,5169,225319
81,51424,5248,230567
82,52064,5746,236313
83,52721,5806,242119
84,53381,5771,247890
85,54021,5786,253676
86,54669,5776,259452
87,55329,5776,265228
88,55969,5750,270978
89,56606,5773,276751
90,57249,5816,282567
91,57889,5883,288450
92,58526,6396,294846
93,59169,6442,301288
94,59807,6410,307698
95,60448,6425,314123
96,61089,6418,320541
97,61727,6414,326955
98,62367,6389,333344
99,63009,6421,339765
100,63648,6450,346215
101,64290,6525,352740
102,64929,7025,359765
103,65563,7083,366848
104,66209,7057,373905
105,66849,7061,380966
106,67505,7080,388046
107,68156,7063,395109
108,68787,7017,402126
109,69449,7080,409206
110,70101,7110,416316
111,70753,7180,423496
112,71391,7661,431157
113,72030,7721,438878
114,72671,7698,446576
115,73314,7697,454273
116,73953,7726,461999
117,74615,7725,469724
118,75270,7671,477395
119,75914,7725,485120
120,76572,7768,492888
