seconds,connections,rps,total
1,0,0,0
2,915,1827,1827
3,4705,7580,9407
4,8516,7622,17029
5,12418,7804,24833
6,16337,7838,32671
7,20146,7618,40289
8,24100,7908,48197
9,27981,7762,55959
10,31827,7692,63651
11,35668,7682,71333
12,39010,7589,78922
13,40846,7461,86383
14,42569,7257,93640
15,44243,7249,100889
16,45852,7137,108026
17,47533,7173,115199
18,49171,7230,122429
19,50795,7127,129556
20,52413,7082,136638
21,54055,7125,143763
22,55452,7036,150799
23,56205,7126,157925
24,57015,7150,165075
25,57707,6984,172059
26,58532,7173,179232
27,59404,7232,186464
28,60056,6905,193369
29,60851,7098,200467
30,61668,7099,207566
31,62283,6702,214268
32,62591,6119,220387
33,62639,5374,225761
34,62667,6440,232201
35,62687,6087,238288
